2394000000,-124.438 -122.938
2394015590,-125.438 -122.938
2394031180,-128.000 -122.500
2394046771,-127.938 -122.938
2394062361,-128.000 -123.000
2394077951,-124.000 -121.500
2394093541,-128.000 -123.000
2394109131,-126.500 -122.438
2394124722,-126.438 -121.938
2394140312,-126.438 -122.500
2394155902,-122.500 -121.500
2394171492,-122.500 -121.000
2394187082,-122.000 -120.500
2394202673,-124.438 -121.938
2394218263,-120.938 -120.938
2394233853,-123.438 -121.438
2394249443,-123.938 -119.938
2394265033,-122.938 -121.438
2394280624,-121.000 -119.500
2394296214,-125.938 -120.000
2394311804,-124.938 -120.438
2394327394,-127.000 -121.438
2394342984,-126.000 -120.500
2394358575,-124.438 -121.938
2394374165,-125.438 -120.000
2394389755,-124.000 -120.938
2394405345,-127.438 -120.938
2394420935,-124.000 -120.438
2394436526,-125.500 -121.438
2394452116,-124.000 -121.438
2394467706,-120.500 -119.438
2394483296,-122.438 -116.938
2394498886,-128.438 -121.500
2394514477,-125.000 -123.000
2394530067,-127.438 -122.938
2394545657,-128.000 -121.438
2394561247,-127.938 -123.438
2394576837,-128.500 -123.500
2394592428,-128.500 -124.438
2394608018,-129.000 -123.500
2394623608,-125.500 -123.938
2394639198,-127.938 -125.000
2394654788,-125.438 -124.000
2394670379,-127.500 -122.938
2394685969,-129.438 -123.000
2394701559,-126.000 -124.500
2394717149,-128.000 -122.500
2394732739,-128.938 -122.938
2394748330,-125.438 -123.000
2394763920,-126.438 -123.938
2394779510,-126.000 -122.938
2394795100,-128.438 -122.438
2394810690,-126.438 -123.500
2394826281,-124.438 -122.438
2394841871,-123.500 -122.438
2394857461,-127.438 -121.438
2394873051,-124.938 -120.938
2394888641,-124.438 -120.000
2394904232,-123.438 -120.438
2394919822,-122.438 -118.500
2394935412,-124.500 -117.500
2394951002,-121.500 -120.000
2394966592,-124.438 -120.500
2394982183,-124.000 -119.500
2394997773,-124.938 -120.500
2395013363,-122.000 -119.000
2395028953,-123.938 -119.500
2395044543,-121.438 -119.938
2395060134,-123.938 -118.438
2395075724,-122.938 -118.500
2395091314,-124.500 -118.938
2395106904,-124.438 -118.438
2395122494,-123.438 -119.438
2395138085,-124.438 -118.500
2395153675,-121.938 -120.500
2395169265,-123.438 -118.438
2395184855,-120.000 -118.938
2395200445,-124.438 -118.438
2395216036,-119.500 -118.438
2395231626,-119.938 -117.500
2395247216,-121.000 -118.500
2395262806,-120.938 -118.438
2395278396,-121.500 -119.000
2395293987,-121.938 -117.938
2395309577,-121.500 -118.938
2395325167,-123.000 -117.938
2395340757,-122.000 -118.500
2395356347,-122.938 -116.938
2395371938,-122.000 -118.500
2395387528,-123.438 -118.000
2395403118,-122.000 -117.000
2395418708,-123.500 -120.000
2395434298,-124.938 -120.000
2395449889,-123.938 -119.000
2395465479,-123.000 -119.000
2395481069,-121.438 -118.500
2395496659,-117.438 -111.000
2395512249,-117.938 -112.938
2395527840,-124.938 -119.000
2395543430,-120.500 -119.438
2395559020,-122.438 -118.438
2395574610,-124.000 -119.938
2395590200,-124.000 -121.438
2395605791,-123.438 -121.938
2395621381,-125.438 -121.500
2395636971,-124.000 -122.000
2395652561,-125.500 -122.000
2395668151,-125.500 -121.438
2395683742,-123.000 -121.500
2395699332,-125.438 -121.000
2395714922,-124.438 -121.938
2395730512,-127.438 -122.500
2395746102,-124.438 -122.000
2395761693,-125.500 -121.938
2395777283,-127.438 -121.000
2395792873,-125.438 -121.500
2395808463,-126.938 -122.000
2395824053,-125.938 -119.938
2395839644,-127.000 -122.000
2395855234,-124.438 -122.000
2395870824,-126.938 -122.438
2395886414,-125.500 -121.500
2395902004,-122.438 -122.438
2395917595,-126.000 -121.438
2395933185,-124.000 -123.938
2395948775,-127.938 -123.000
2395964365,-123.000 -122.000
2395979955,-126.000 -121.938
2395995546,-123.000 -122.500
2396011136,-126.438 -122.500
2396026726,-128.438 -121.438
2396042316,-125.500 -121.500
2396057906,-126.438 -122.438
2396073497,-125.938 -121.500
2396089087,-127.000 -121.000
2396104677,-125.938 -123.438
2396120267,-128.938 -124.000
2396135857,-125.000 -122.438
2396151448,-125.500 -122.000
2396167038,-124.500 -121.000
2396182628,-123.500 -121.938
2396198218,-124.000 -119.438
2396213808,-121.500 -120.938
2396229399,-124.000 -120.500
2396244989,-125.438 -119.938
2396260579,-123.500 -118.500
2396276169,-125.938 -120.438
2396291759,-122.000 -119.438
2396307350,-124.000 -121.438
2396322940,-125.000 -119.500
2396338530,-120.938 -120.000
2396354120,-123.000 -119.438
2396369710,-119.500 -118.938
2396385301,-120.438 -119.000
2396400891,-121.938 -119.000
2396416481,-120.938 -118.938
2396432071,-122.938 -118.000
2396447661,-123.438 -119.500
2396463252,-119.500 -118.438
2396478842,-120.500 -118.500
2396494432,-119.438 -118.438
2396510022,-120.500 -111.938
2396525612,-106.938 -103.438
2396541203,-118.438 -112.938
2396556793,-121.438 -118.000
2396572383,-121.500 -117.938
2396587973,-119.000 -115.938
2396603563,-121.500 -117.438
2396619154,-123.938 -118.938
2396634744,-123.438 -118.938
2396650334,-118.938 -117.938
2396665924,-121.500 -116.938
2396681514,-120.938 -117.000
2396697105,-121.000 -116.938
2396712695,-121.000 -118.500
2396728285,-124.438 -117.438
2396743875,-123.938 -118.500
2396759465,-120.438 -118.000
2396775056,-122.500 -119.438
2396790646,-128.000 -120.500
2396806236,-123.000 -119.438
2396821826,-123.438 -119.438
2396837416,-123.438 -118.500
2396853007,-122.938 -119.438
2396868597,-123.500 -119.500
2396884187,-125.438 -120.438
2396899777,-122.500 -119.938
2396915367,-126.438 -118.000
2396930958,-123.438 -120.938
2396946548,-124.500 -121.000
2396962138,-124.438 -120.500
2396977728,-122.438 -120.438
2396993318,-122.938 -121.000
2397008909,-124.500 -121.500
2397024499,-123.500 -119.938
2397040089,-125.438 -120.438
2397055679,-126.938 -122.438
2397071269,-128.000 -122.500
2397086860,-126.438 -122.438
2397102450,-128.000 -121.500
2397118040,-125.500 -123.438
2397133630,-126.500 -121.938
2397149220,-126.938 -122.438
2397164811,-125.000 -122.438
2397180401,-130.500 -121.000
